,Headline,URL
48,স্বামীবাগের সেই বাড়িতে ‘রাষ্ট্রবিরোধী চক্রান্তকারী’ সন্দেহে আটক ৫,https://www.jagonews24.com/national/news/722419
49,অবহেলিতদের নিয়ে কাজ করতে ভোটের মাঠে ৩ ফুটের সালমা,https://www.jagonews24.com/country/news/722274
50,"প্রবাসীর স্ত্রীর মরদেহ উদ্ধার, পুলিশের ধারণা পরকীয়ার জের",https://www.jagonews24.com/country/news/722239
51,মনোনয়ন পেয়ে জুতা পায়ে শহীদ মিনারে মেম্বার প্রার্থীর ফটোসেশন,https://www.jagonews24.com/country/news/722073
52,চলন্ত অটোরিকশার ওপর বৈদ্যুতিক খুঁটি পড়ে প্রাণ গেলো যুবকের,https://www.jagonews24.com/country/news/721859
53,মনোনয়ন পাওয়ার দিনই আ’লীগ প্রার্থীর বিরুদ্ধে মামলা,https://www.jagonews24.com/country/news/721783
54,"ফাঁসির আসামিকে নৌকার মনোনয়ন, একঘণ্টা পর পরিবর্তন",https://www.jagonews24.com/country/news/721366
55,দেশে আপাতত লকডাউনের পরিকল্পনা নেই: স্বাস্থ্যমন্ত্রী,https://www.jagonews24.com/country/news/721189
56,এসএসসির সিলেবাস কমিয়ে ৩০ শতাংশ করার দাবিতে সড়ক অবরোধ,https://www.jagonews24.com/country/news/720616
57,"শিক্ষার্থীকে গাড়িচাপা, ঢাকা-আরিচা মহাসড়ক অবরোধ",https://www.jagonews24.com/country/news/720345
58,জাবিতে পাখিমেলা ৭ জানুয়ারি,https://www.jagonews24.com/campus/news/720145
59,পারিবারিক কলহে স্ত্রীকে শ্বাসরোধে হত্যা,https://www.jagonews24.com/country/news/719857
60,ঘুমন্ত স্বামীকে গরম তেলে ঝলসে দিলেন স্ত্রী,https://www.jagonews24.com/country/news/719580
61,জাবিতে প্রজাপতি মেলা ১০ ডিসেম্বর,https://www.jagonews24.com/campus/news/719316
62,মুগদায় সিলিন্ডার বিস্ফোরণ: স্ত্রী-সন্তানের পর মারা গেলেন স্বামীও,https://www.jagonews24.com/national/news/719093
63,দুর্নীতি-অর্থ আত্মসাতের অভিযোগে ইউপি চেয়ারম্যান বরখাস্ত,https://www.jagonews24.com/country/news/718883
64,৯ বছরেও ঘোর কাটেনি তাজরীনের শ্রমিকদের,https://www.jagonews24.com/country/news/718303
65,পরকীয়া প্রেমিককে নিয়ে স্বামীকে হত্যা,https://www.jagonews24.com/country/news/718220
66,দেশের প্রথম নারী সেঞ্চুরিয়ান জাবির শারমিন,https://www.jagonews24.com/campus/news/718216
67,সাভারে মাটি খুঁড়ে মিললো যুবকের মরদেহ,https://www.jagonews24.com/country/news/718215
68,জাবিতে উচ্চশিক্ষায় নেপাল সরকারের আগ্রহ প্রকাশ,https://www.jagonews24.com/campus/news/718184
69,"ধামরাইয়ে যুবককে বেঁধে নির্যাতন, নবনির্বাচিত চেয়ারম্যান আটক",https://www.jagonews24.com/country/news/718009
70,অটোরিকশার চাকায় ওড়না পেঁচিয়ে প্রাণ গেলো বিশ্ববিদ্যালয় ছাত্রীর,https://www.jagonews24.com/country/news/717838
71,ধানমন্ডির মীনা বাজারে অগ্নিকাণ্ড,https://www.jagonews24.com/national/news/717769
72,ঢাকায় মালদ্বীপের ভাইস প্রেসিডেন্ট,https://www.jagonews24.com/national/news/717701
73,"খালাবাড়ি দুই কিশোরী, অপহরণ মামলায় কারাগারে মুরগি ব্যবসায়ী",https://www.jagonews24.com/country/news/717394
74,সাভারে রিকশাচালককে ছুরিকাঘাতে খুন,https://www.jagonews24.com/country/news/717384
75,‘ঢাকাকে অপরিকল্পিতভাবে গড়ে তুলতে দেওয়া হবে না’,https://www.jagonews24.com/national/news/717314
76,শীতের শুরুতেই সাভারে বেড়েছে ঠান্ডাজনিত রোগ,https://www.jagonews24.com/country/news/717020
77,আশুলিয়ার ইউপি মেম্বার গ্রেফতার,https://www.jagonews24.com/country/news/716972
78,ভাইয়ের বাসা থেকে কুয়েট শিক্ষার্থীর ঝুলন্ত মরদেহ উদ্ধার,https://www.jagonews24.com/country/news/716815
79,কেরানীগঞ্জে খেলতে গিয়ে ছাদ থেকে পড়ে শিশুর মৃত্যু,https://www.jagonews24.com/national/news/716773
80,আশুলিয়ায় কারখানায় বিদুৎস্পৃষ্টে শ্রমিকের মৃত্যু,https://www.jagonews24.com/country/news/716608
81,"নিটার উপদেষ্টা-রেজিস্ট্রারের পদত্যাগ, শিক্ষার্থীদের আনন্দ মিছিল",https://www.jagonews24.com/country/news/716580
82,চিকিৎসক না থাকায় হাসপাতাল সিলগালা,https://www.jagonews24.com/country/news/716269
83,"খানাখন্দে ভরা সড়কে ভোগান্তি, সংস্কারে নেই উদ্যোগ",https://www.jagonews24.com/country/news/716186
84,"স্ত্রীকে কাস্তে দিয়ে কুপিয়ে জখম, নিজের শরীরে ঢাললেন গরম পানি",https://www.jagonews24.com/country/news/716172
85,মাসের ৭ তারিখে বেতন পরিশোধের দাবিতে পোশাক শ্রমিকদের বিক্ষোভ,https://www.jagonews24.com/country/news/716133
86,"সাভারে বন বিভাগের জমি বিক্রি, আ’লীগ নেতাসহ ৫ জনের বিরুদ্ধে মামলা",https://www.jagonews24.com/country/news/715877
87,আশুলিয়ায় মোটরসাইকেল দুর্ঘটনায় দুইজন নিহত,https://www.jagonews24.com/country/news/715853
88,জাবিতে প্রক্সি দিতে গিয়ে বুয়েটের সাবেক শিক্ষার্থী আটক,https://www.jagonews24.com/campus/news/715680
89,ধামরাইয়ে চলন্ত বাসে আগুন,https://www.jagonews24.com/country/news/715670
90,ধামরাইয়ে ট্রাকচাপায় নারী পোশাকশ্রমিক নিহত,https://www.jagonews24.com/country/news/715618
91,আইটি শিল্পে একসঙ্গে কাজ করবে বাংলাদেশ-উজবেকিস্তান,https://www.jagonews24.com/technology/news/715368
92,"সায়েদাবাদে সিলিন্ডার বিস্ফোরণ, ৫ জনের অবস্থা আশঙ্কাজনক",https://www.jagonews24.com/national/news/715346
93,"সড়ক দুর্ঘটনায় সাভারে একজন নিহত, ধামরাইয়ে আহত ২৫",https://www.jagonews24.com/country/news/715258
94,ধামরাইয়ে ইউপি নির্বাচনে বিজয়ী হলেন যারা,https://www.jagonews24.com/country/news/715050
95,জাবির আরও দুই ইউনিটে ভর্তি পরীক্ষার ফল প্রকাশ,https://www.jagonews24.com/campus/news/714981
96,ধামরাইয়ে যুবককে কুপিয়ে হত্যা,https://www.jagonews24.com/country/news/714954
97,"নানা বাড়িতে আটকে তরুণীকে ধর্ষণ, যুবক আটক",https://www.jagonews24.com/country/news/714469
98,জাবিতে দ্বিতীয় দিনের ভর্তি পরীক্ষা চলছে,https://www.jagonews24.com/campus/news/714367
99,৫০০ লোক নিয়ে কাউন্সিলরকে ভোটকেন্দ্রে থাকার নির্দেশ মেয়রের,https://www.jagonews24.com/country/news/714262
100,রাজধানীতে নির্মাণাধীন ভবন থেকে পড়ে শ্রমিকের মৃত্যু,https://www.jagonews24.com/national/news/714121
101,ধামরাইয়ে ১৫ ইউপির বেশিরভাগ কেন্দ্রই ঝুঁকিপূর্ণ,https://www.jagonews24.com/country/news/714008
102,দুই বাসের চাপায় প্রাণ গেলো স্কুলশিক্ষকের,https://www.jagonews24.com/national/news/713937
103,সাভারে ইভ্যালির ওয়্যারহাউজ সিলগালা,https://www.jagonews24.com/country/news/713820
104,আশুলিয়ায় ৩ মরদেহ উদ্ধারের ঘটনায় দুই মামলা,https://www.jagonews24.com/country/news/713661
105,"সাভারের পথে পথে ভোগান্তি, তবুও গন্তব্যমুখী মানুষ",https://www.jagonews24.com/country/news/713262
106,স্বতন্ত্র প্রার্থীর পোস্টার ছিঁড়ে বিপাকে নৌকার প্রার্থী,https://www.jagonews24.com/country/news/713173
107,ধর্মঘটের দ্বিতীয় দিনেও কমলাপুরে উপচেপড়া ভিড়,https://www.jagonews24.com/national/news/713166
108,শ্রমিকদের ডাকা ধর্মঘটে সমর্থন গণ অধিকার পরিষদের,https://www.jagonews24.com/country/news/713070
109,১০ টাকার ভাড়া ১০০!,https://www.jagonews24.com/country/news/713039
110,আশুলিয়ায় জুতার কারখানায় আগুন,https://www.jagonews24.com/country/news/712946
111,কেরানীগঞ্জে মানবতাবিরোধী অপরাধ মামলার আসামির মৃত্যু,https://www.jagonews24.com/national/news/712460
112,ধামরাইয়ে কোণঠাসা স্বতন্ত্র প্রার্থীরা,https://www.jagonews24.com/country/news/712314
113,"ধামরাইয়ে স্বতন্ত্র প্রার্থীর প্রচারণায় হামলা, আহত ২০",https://www.jagonews24.com/country/news/712290
114,"সাভারে বখাটেদের হামলায় দুই পুলিশ আহত, গ্রেফতার ১",https://www.jagonews24.com/country/news/712160
115,"রংপুরে পুলিশের অভিযানে ‘মৃত্যু’, পদক্ষেপ জানতে চাইলেন হাইকোর্ট",https://www.jagonews24.com/law-courts/news/712129
116,ধামরাইয়ে আ’লীগ প্রার্থীর কর্মীকে পিটিয়ে হত্যা,https://www.jagonews24.com/country/news/711883
117,রাজধানীতে গাড়ির ধাক্কায় আহত যুবকের মৃত্যু,https://www.jagonews24.com/national/news/711867
118,ধামরাইয়ে নির্বাচনী সহিংসতায় নৌকার কর্মী নিহত,https://www.jagonews24.com/country/news/711839
119,‘জনগণের অ্যাটেনশন গ্রো করতেই ফখরুল একেক সময় নানান কথা বলছেন’,https://www.jagonews24.com/country/news/711728
120,পূজামণ্ডপে সহিংসতার সঙ্গে জঙ্গিবাদের সম্পর্ক নেই: সিটিটিসি প্রধান,https://www.jagonews24.com/national/news/711457
121,জামায়াতের ওপর ক্ষোভ ঝাড়লেন মোশাররফ ও দুদু,https://www.jagonews24.com/politics/news/711456
122,করোনার টিকাগ্রহীতার সংখ্যা সাড়ে সাত কোটি ছাড়ালো,https://www.jagonews24.com/health/news/711455
123,ঢাকায় আসছেন ভারতের রাষ্ট্রপতি রামনাথ কোবিন্দ,https://www.jagonews24.com/national/news/711454
124,ফের আ’লীগের মনোনয়ন পেলেন প্রধানমন্ত্রীর নামফলক ‘ভাঙা’ সেই আশকর,https://www.jagonews24.com/country/news/711431
125,পুলিশ জনগণের বন্ধু হিসেবে প্রতিষ্ঠিত হয়েছে: স্বরাষ্ট্রমন্ত্রী,https://www.jagonews24.com/country/news/711422
126,ধামরাইয়ে নির্বাচনী সহিংসতায় স্বতন্ত্র প্রার্থীসহ আহত ২০,https://www.jagonews24.com/country/news/711358
127,"সাভারে মহাসড়ক ঘেঁষে ময়লার ভাগাড়, দেখার কেউ নেই",https://www.jagonews24.com/country/news/711306
128,বাংলা ভাষার সামাজিক প্ল্যাটফর্ম ‘টফির’ আনুষ্ঠানিক যাত্রা,https://www.jagonews24.com/technology/news/710992
129,আখ চাষে ঝুঁকছেন ধামরাইয়ের চাষিরা,https://www.jagonews24.com/agriculture-and-nature/news/710829
130,‌গুলি-মারধর-পোস্টার ছেঁড়ায় শুরু ধামরাইয়ের নির্বাচন,https://www.jagonews24.com/country/news/710738
131,কেন্দ্রীয় কারাগারে হাজতির মৃত্যু,https://www.jagonews24.com/national/news/710546
132,সরকারি খাবার পাবে ধামরাইয়ের বানর,https://www.jagonews24.com/country/news/709889
133,জামিন পেলেন প্রেমিকের জিহ্বা কেটে দেওয়া সেই তরুণী,https://www.jagonews24.com/country/news/709831
134,জবি শিক্ষার্থীদের জন্য কাউন্সিলিং কমিটি,https://www.jagonews24.com/campus/news/709573
135,‘এমকে আনোয়ার কখনো অগণতান্ত্রিক শক্তির কাছে মাথা নত করেননি’,https://www.jagonews24.com/politics/news/709566
136,বাড্ডায় ফার্নিচার গোডাউনের আগুন নিয়ন্ত্রণে,https://www.jagonews24.com/national/news/709562
137,"বাড্ডায় ফার্নিচারের গোডাউনে আগুন, নিয়ন্ত্রণে ৭ ইউনিট",https://www.jagonews24.com/national/news/709559
138,"বিয়েতে গড়িমসি, প্রেমিকের জিহ্বা কেটে দিলেন প্রেমিকা",https://www.jagonews24.com/country/news/709555
139,সড়কে ব্যর্থ হলে উন্নয়ন ম্লান হয়ে যাবে: কাদের,https://www.jagonews24.com/national/news/709279
140,সমন্বয়হীনতা-অসচেতনতায় মহাসড়কে বাড়ছে মৃত্যুর মিছিল,https://www.jagonews24.com/country/news/709178
141,পল্টনের জামান টাওয়ারে আগুন,https://www.jagonews24.com/national/news/709161
142,খুদে ডাক্তার কর্মসূচি একটি ভিন্নধর্মী উদ্যোগ: স্বাস্থ্যমন্ত্রী,https://www.jagonews24.com/health/news/709051
143,ওজনে কারচুপি: পেট্রল পাম্পের বিরুদ্ধে মামলা,https://www.jagonews24.com/economy/news/709016
144,মুগদা মেডিকেলে এসি বিস্ফোরণে দগ্ধ ৫,https://www.jagonews24.com/national/news/708935
145,মাংসের বাজারে জায়গা নেবে উটপাখি!,https://www.jagonews24.com/country/news/708807
146,আশুলিয়ায় বাবাকে হত্যায় পলাতক ছেলে গ্রেফতার,https://www.jagonews24.com/country/news/708700
147,ধামরাইয়ে নারী শ্রমিককে হাতুড়িপেটার অভিযোগ,https://www.jagonews24.com/country/news/708611
148,শীতের আগাম সবজির ফলন ভালো হলেও দাম নিয়ে হতাশ কৃষক,https://www.jagonews24.com/country/news/708383
149,"বৃষ্টি থাকতে পারে আরও দুদিন, ৩ নম্বর সংকেত বহাল",https://www.jagonews24.com/national/news/708329
150,আশুলিয়ায় ছেলের বটির কোপে প্রাণ গেলো বাবার,https://www.jagonews24.com/country/news/708327
151,দুই বোনকে মারধর-শ্লীলতাহানির ঘটনায় সেই যুবক কারাগারে,https://www.jagonews24.com/country/news/708232
152,টাকা চুরির ঘটনা দেখে ফেলায় শিশুকে হত্যার অভিযোগ,https://www.jagonews24.com/country/news/708047
153,শাহবাগে সড়ক অবরোধ,https://www.jagonews24.com/national/news/708020
154,"খেয়াঘাটে দুই বোনকে মারধর, শ্লীলতাহানির অভিযোগ",https://www.jagonews24.com/country/news/707937
155,ছেলের প্রতীক্ষায় এক যুগ,https://www.jagonews24.com/country/news/707758
156,"বছর ধরে ভাঙা কালভার্ট, হাজারো মানুষের দুর্ভোগ",https://www.jagonews24.com/country/news/707696
157,চকবাজারে পুলিশের ওপর হামলার ঘটনায় গ্রেফতার ৫,https://www.jagonews24.com/national/news/707615
158,"সাভারে বাড়ছে ইজিবাইক ছিনতাই, আতঙ্কে চালক-মালিক",https://www.jagonews24.com/country/news/707539
