headline,link,time
ত্রাণের চাল আত্মসাৎ: দুমকিতে ইউপি চেয়ারম্যানসহ ২ মেম্বার বরখাস্ত,https://www.jugantor.com/country-news/357815/ত্রাণের-চাল-আত্মসাৎ-দুমকিতে-ইউপি-চেয়ারম্যানসহ-২-মেম্বার-বরখাস্ত,"৩ অক্টোবর, ২০২০"
দুমকিতে করোনাজয়ী স্বাস্থ্য কর্মকর্তাকে ফুলেল শুভেচ্ছা,https://www.jugantor.com/country-news/354913/দুমকিতে-করোনাজয়ী-স্বাস্থ্য-কর্মকর্তাকে-ফুলেল-শুভেচ্ছা,"৪ অক্টোবর, ২০২০"
নির্ধারিত সময়ে শেষ হচ্ছে না পায়রা সেতুর নির্মাণ কাজ,https://www.jugantor.com/country-news/352817/নির্ধারিত-সময়ে-শেষ-হচ্ছে-না-পায়রা-সেতুর-নির্মাণ-কাজ,"৮ অক্টোবর, ২০২০"
শেরেবাংলা অ্যাওয়ার্ড পেলেন দুমকি প্রেসক্লাব সভাপতি অধ্যক্ষ জসিম,https://www.jugantor.com/country-news/352441/শেরেবাংলা-অ্যাওয়ার্ড-পেলেন-দুমকি-প্রেসক্লাব-সভাপতি-অধ্যক্ষ-জসিম,"৭ অক্টোবর, ২০২০"
দুমকিতে চেয়ারম্যানের বিরুদ্ধে মামলা,https://www.jugantor.com/country-news/352166/দুমকিতে-চেয়ারম্যানের-বিরুদ্ধে-মামলা,"৬ অক্টোবর, ২০২০"
দুমকিতে পাচারকালে সরকারি চাল জব্দ,https://www.jugantor.com/country-news/351832/দুমকিতে-পাচারকালে-সরকারি-চাল-জব্দ,"৫ অক্টোবর, ২০২০"
দুমকিতে যত্রতত্র বিক্রি হচ্ছে এলপি গ্যাস,https://www.jugantor.com/country-news/351358/দুমকিতে-যত্রতত্র-বিক্রি-হচ্ছে-এলপি-গ্যাস,"৪ অক্টোবর, ২০২০"
দুমকিতে ফেরিঘাট সড়কের বেহাল দশা,https://www.jugantor.com/country-news/349697/দুমকিতে-ফেরিঘাট-সড়কের-বেহাল-দশা,"৯ সেপ্টেম্বর, ২০২০"
দুমকিতে স্বাস্থ্য কর্মকর্তা করোনায় আক্রান্ত,https://www.jugantor.com/covid-19/349120/দুমকিতে-স্বাস্থ্য-কর্মকর্তা-করোনায়-আক্রান্ত,"৭ সেপ্টেম্বর, ২০২০"
দুমকিতে পায়রার বেড়িবাঁধে ভাঙন,https://www.jugantor.com/country-news/348181/দুমকিতে-পায়রার-বেড়িবাঁধে-ভাঙন,"৪ সেপ্টেম্বর, ২০২০"
দুমকির ১৫০ কিলোমিটার কাঁচা সড়কের বেহাল দশা,https://www.jugantor.com/country-news/345000/দুমকির-১৫০-কিলোমিটার-কাঁচা-সড়কের-বেহাল-দশা,"৫ সেপ্টেম্বর, ২০২০"
পটুয়াখালীতে ২ কেজি গাঁজাসহ কলেজছাত্র গ্রেফতার,https://www.jugantor.com/country-news/344281/পটুয়াখালীতে-২-কেজি-গাঁজাসহ-কলেজছাত্র-গ্রেফতার,"৩ সেপ্টেম্বর, ২০২০"
দুমকিতে অজ্ঞাত রোগে ৪ হাজার মুরগির মৃত্যু,https://www.jugantor.com/country-news/342045/দুমকিতে-অজ্ঞাত-রোগে-৪-হাজার-মুরগির-মৃত্যু,"৬ সেপ্টেম্বর, ২০২০"
"ঘর পাচ্ছেন সচ্ছলরা, বঞ্চিত প্রকৃত গৃহহীনরা",https://www.jugantor.com/country-news/341129/ঘর-পাচ্ছেন-সচ্ছলরা-বঞ্চিত-প্রকৃত-গৃহহীনরা,"৩ সেপ্টেম্বর, ২০২০"
বাঁচতে চান ছাত্রলীগ নেতা সাগর,https://www.jugantor.com/country-news/339338/বাঁচতে-চান-ছাত্রলীগ-নেতা-সাগর-,"৮ আগস্ট, ২০২০"
ঋণ পরিশোধে ব্যর্থ যুবকের আত্মহত্যা,https://www.jugantor.com/country-news/339014/ঋণ-পরিশোধে-ব্যর্থ-যুবকের-আত্মহত্যা,"৭ আগস্ট, ২০২০"
দুমকিতে ভেসে গেছে দুই শতাধিক ঘেরের মাছ,https://www.jugantor.com/country-news/338599/দুমকিতে-ভেসে-গেছে-দুই-শতাধিক-ঘেরের-মাছ,"৬ আগস্ট, ২০২০"
মোবাইল না পেয়ে হাফেজের আত্মহত্যা,https://www.jugantor.com/country-news/331464/মোবাইল-না-পেয়ে-হাফেজের-আত্মহত্যা,"৩ আগস্ট, ২০২০"
বঙ্গবন্ধুর জন্মশতবার্ষিকীতে বৃক্ষরোপণ ও পোনা অবমুক্ত করলেন ডিআইজি,https://www.jugantor.com/country-news/331258/বঙ্গবন্ধুর-জন্মশতবার্ষিকীতে-বৃক্ষরোপণ-ও-পোনা-অবমুক্ত-করলেন-ডিআইজি,"১ জুলাই, ২০২০"
ছাত্রলীগ নেতা শফিক ইয়াবাসহ আটক,https://www.jugantor.com/country-news/327997/ছাত্রলীগ-নেতা-শফিক-ইয়াবাসহ-আটক,"১ জুলাই, ২০২০"
১৫ দিনেও মিলছে না করোনা পরীক্ষার রিপোর্ট,https://www.jugantor.com/covid-19/321306/১৫-দিনেও-মিলছে-না-করোনা-পরীক্ষার-রিপোর্ট,"০ জুন, ২০২০"
দুমকিতে নির্বাচন কর্মকর্তা করোনা আক্রান্ত,https://www.jugantor.com/country-news/320991/দুমকিতে-নির্বাচন-কর্মকর্তা-করোনা-আক্রান্ত,"৯ জুন, ২০২০"
দুমকিতে ১৪ মামলায় গ্রেফতার রিপন আদালতে,https://www.jugantor.com/country-news/320894/দুমকিতে-১৪-মামলায়-গ্রেফতার-রিপন-আদালতে,"৯ জুন, ২০২০"
চলচ্চিত্র অভিনেতা রাজিবের মায়ের ইন্তেকাল,https://www.jugantor.com/country-news/319580/চলচ্চিত্র-অভিনেতা-রাজিবের-মায়ের-ইন্তেকাল,"৫ জুন, ২০২০"
দুমকিতে চতুর্থ শ্রেণির শিক্ষার্থী করোনায় আক্রান্ত,https://www.jugantor.com/covid-19/309823/দুমকিতে-চতুর্থ-শ্রেণির-শিক্ষার্থী-করোনায়-আক্রান্ত,"৩ মে, ২০২০"
আম্পানের প্রভাবে দুমকির ১০ গ্রাম প্লাবিত,https://www.jugantor.com/country-news/309329/আম্পানের-প্রভাবে-দুমকির-১০-গ্রাম-প্লাবিত,"১ মে, ২০২০"
দুমকিতে গাছে মিলল ডেমরার জুট মিল শ্রমিকের লাশ,https://www.jugantor.com/covid-19/306948/দুমকিতে-গাছে-মিলল-ডেমরার-জুট-মিল-শ্রমিকের-লাশ,"৩ মে, ২০২০"
দুমকিতে প্রকৃত অসহায়দের খাদ্য দিচ্ছেন ওসি,https://www.jugantor.com/country-news/306553/দুমকিতে-প্রকৃত-অসহায়দের-খাদ্য-দিচ্ছেন-ওসি,"২ মে, ২০২০"
দুমকিতে ফাঁস দিয়ে কলেজছাত্রের আত্মহত্যা,https://www.jugantor.com/country-news/302227/দুমকিতে-ফাঁস-দিয়ে-কলেজছাত্রের-আত্মহত্যা,"৭ এপ্রিল, ২০২০"
দুমকীতে করোনাভাইরাসে আক্রান্ত চিকিৎসক,https://www.jugantor.com/country-news/300622/দুমকীতে-করোনাভাইরাসে-আক্রান্ত-চিকিৎসক,"২ এপ্রিল, ২০২০"
দুমকি উপজেলা লকডাউন,https://www.jugantor.com/covid-19/297248/দুমকি-উপজেলা-লকডাউন,"০ এপ্রিল, ২০২০"
দুমকিতে মারা যাওয়ার দুই ঘণ্টা পর জানা গেল গার্মেন্টসকর্মী করোনায় আক্রান্ত!,https://www.jugantor.com/covid-19/297109/দুমকিতে-মারা-যাওয়ার-দুই-ঘণ্টা-পর-জানা-গেল-গার্মেন্টসকর্মী-করোনায়-আক্রান্ত,"৯ এপ্রিল, ২০২০"
ফোন পেয়ে বৃদ্ধার ঘরে খাবার পৌঁছে দিলেন ওসি,https://www.jugantor.com/covid-19/296523/ফোন-পেয়ে-বৃদ্ধার-ঘরে-খাবার-পৌঁছে-দিলেন-ওসি,"৭ এপ্রিল, ২০২০"
তিনদিন পানি খেয়ে থাকা সেই বৃদ্ধের বাড়িতে এসপি,https://www.jugantor.com/covid-19/294855/তিনদিন-পানি-খেয়ে-থাকা-সেই-বৃদ্ধের-বাড়িতে-এসপি,"১ এপ্রিল, ২০২০"
পবিপ্রবির ৩ শিক্ষক হোম কোয়ারেন্টাইনে!,https://www.jugantor.com/campus/290114/পবিপ্রবির-৩-শিক্ষক-হোম-কোয়ারেন্টাইনে,"৭ মার্চ, ২০২০"
দুমকিতে সড়ক দুর্ঘটনায় জেলা শিক্ষা অফিসের ক্লার্ক নিহত,https://www.jugantor.com/country-news/285748/দুমকিতে-সড়ক-দুর্ঘটনায়-জেলা-শিক্ষা-অফিসের-ক্লার্ক-নিহত,"৫ মার্চ, ২০২০"
‘নিউজ করলে ব্যবস্থা নিব’,https://www.jugantor.com/country-news/281579/নিউজ-করলে-ব্যবস্থা-নিব,"৩ ফেব্রুয়ারি, ২০২০"
পটুয়াখালীতে ‘ম্যানেজ করে’ খাসজমিতে ইটভাটা নির্মাণ!,https://www.jugantor.com/country-news/280696/পটুয়াখালীতে-ম্যানেজ-করে-খাসজমিতে-ইটভাটা-নির্মাণ,"০ ফেব্রুয়ারি, ২০২০"
এসআই  পদে চাকরি পাওয়া দুমকির বিথিকা ও মহিবুল্লার বাড়িতে ওসি,https://www.jugantor.com/country-news/279542/এসআই--পদে-চাকরি-পাওয়া-দুমকির-বিথিকা-ও-মহিবুল্লার-বাড়িতে-ওসি,"৭ ফেব্রুয়ারি, ২০২০"
কৃষিপণ্যের ন্যায্যমূল্য নিশ্চিত করতে সরকার বদ্ধ পরিকর: খাদ্যমন্ত্রী,https://www.jugantor.com/national/277615/কৃষিপণ্যের-ন্যায্যমূল্য-নিশ্চিত-করতে-সরকার-বদ্ধ-পরিকর-খাদ্যমন্ত্রী,"২ ফেব্রুয়ারি, ২০২০"
গোপনে প্রেম করায় পবিপ্রবির সিঙ্গেল কমিটির ১৩ সদস্য বহিষ্কার!,https://www.jugantor.com/country-news/276831/গোপনে-প্রেম-করায়-পবিপ্রবির-সিঙ্গেল-কমিটির-১৩-সদস্য-বহিষ্কার,"০ ফেব্রুয়ারি, ২০২০"
পবিপ্রবির ১৫ শিক্ষার্থী সাময়িক বহিষ্কার,https://www.jugantor.com/country-news/270802/পবিপ্রবির-১৫-শিক্ষার্থী-সাময়িক-বহিষ্কার,"৪ জানুয়ারি, ২০২০"
