headline,link,time
ভূমি কর্মকর্তার বিরুদ্ধে ঘুস-দুর্নীতির অভিযোগ!,https://www.jugantor.com/country-news/537908/ভূমি-কর্মকর্তার-বিরুদ্ধে-ঘুসদুর্নীতির-অভিযোগ,"৪ এপ্রিল, ২০২২"
বিয়েতে দাওয়াত না পেয়ে গরুর সঙ্গে এ কেমন নৃশংসতা,https://www.jugantor.com/country-news/531360/বিয়েতে-দাওয়াত-না-পেয়ে-গরুর-সঙ্গে-এ-কেমন-নৃশংসতা,"৬ মার্চ, ২০২২"
"ফিল্মি স্টাইলে কলেজ শিক্ষিকাকে অপহরণ, অতঃপর...",https://www.jugantor.com/country-news/530410/ফিল্মি-স্টাইলে-কলেজ-শিক্ষিকাকে-অপহরণ-অতঃপর...,"৪ মার্চ, ২০২২"
পিকআপচাপায় মোটরসাইকেলের ৩ আরোহী নিহত,https://www.jugantor.com/country-news/529912/পিকআপচাপায়-মোটরসাইকেলের-৩-আরোহী-নিহত,"২ মার্চ, ২০২২"
হামলা-সহিংসতার মামলায় বিএনপির ৯ নেতা কারাগারে,https://www.jugantor.com/country-news/528885/হামলাসহিংসতার-মামলায়-বিএনপির-৯-নেতা-কারাগারে,"৯ মার্চ, ২০২২"
এলজিইডির দুই প্রকৌশলীকে পেটালেন ঠিকাদার,https://www.jugantor.com/country-news/527530/এলজিইডির-দুই-প্রকৌশলীকে-পেটালেন-ঠিকাদার,"৬ মার্চ, ২০২২"
দুমকিতে যুবলীগ বিএনপি সংঘর্ষ,https://www.jugantor.com/todays-paper/last-page/527234/দুমকিতে-যুবলীগ-বিএনপি-সংঘর্ষ,"৬ মার্চ, ২০২২"
বিএনপি-যুবলীগ সংঘর্ষে আহত ৩০,https://www.jugantor.com/country-news/527095/বিএনপিযুবলীগ-সংঘর্ষে-আহত-৩০,"৫ মার্চ, ২০২২"
বার বার বিয়ে ভেঙে যাওয়ায় ছাত্রীর আত্মহত্যা,https://www.jugantor.com/country-news/523545/বার-বার-বিয়ে-ভেঙে-যাওয়ায়-ছাত্রীর-আত্মহত্যা,"৩ ফেব্রুয়ারি, ২০২২"
বাজারের ব্যাগে মিলল সাড়ে ৩ কেজি গাঁজা,https://www.jugantor.com/country-news/523234/বাজারের-ব্যাগে-মিলল-সাড়ে-৩-কেজি-গাঁজা,"৩ ফেব্রুয়ারি, ২০২২"
অবশেষে শাঁখা-সিঁদুর পরিয়ে ঘরে তোলা হলো সেই মুক্তা রানীকে,https://www.jugantor.com/country-news/520906/অবশেষে-শাঁখাসিঁদুর-পরিয়ে-ঘরে-তোলা-হলো-সেই-মুক্তা-রানীকে,"৬ ফেব্রুয়ারি, ২০২২"
প্রেমিকের বাড়িতে সাত দিন ধরে অনশনে তরুণী!,https://www.jugantor.com/country-news/520285/প্রেমিকের-বাড়িতে-সাত-দিন-ধরে-অনশনে-তরুণী,"৫ ফেব্রুয়ারি, ২০২২"
দুমকিতে চালককে কুপিয়ে অটোরিকশা ছিনতাই,https://www.jugantor.com/country-news/519365/দুমকিতে-চালককে-কুপিয়ে-অটোরিকশা-ছিনতাই,"২ ফেব্রুয়ারি, ২০২২"
মোবাইল ফোন চুরির অপবাদে শিক্ষার্থীর মাথা ন্যাড়া করলেন ইউপি সদস্য,https://www.jugantor.com/country-news/518106/মোবাইল-ফোন-চুরির-অপবাদে-শিক্ষার্থীর-মাথা-ন্যাড়া-করলেন-ইউপি-সদস্য,"৯ ফেব্রুয়ারি, ২০২২"
পবিপ্রবিতে যুগান্তরের প্রতিষ্ঠাবার্ষিকী পালিত,https://www.jugantor.com/country-news/516620/পবিপ্রবিতে-যুগান্তরের-প্রতিষ্ঠাবার্ষিকী-পালিত,"৪ ফেব্রুয়ারি, ২০২২"
দুমকিতে যুগান্তরের প্রতিষ্ঠাবার্ষিকী পালিত,https://www.jugantor.com/country-news/515991/দুমকিতে-যুগান্তরের-প্রতিষ্ঠাবার্ষিকী-পালিত,"২ ফেব্রুয়ারি, ২০২২"
দুমকিতে কৃষক দলের কমিটি ঘোষণা,https://www.jugantor.com/country-news/515631/দুমকিতে-কৃষক-দলের-কমিটি-ঘোষণা,"১ ফেব্রুয়ারি, ২০২২"
ধাক্কা দিয়ে ব্রিজ ভেঙে ফেলল কার্গো!,https://www.jugantor.com/country-news/515349/ধাক্কা-দিয়ে-ব্রিজ-ভেঙে-ফেলল-কার্গো,"১ জানুয়ারি, ২০২২"
চলাচলের রাস্তা বন্ধের প্রতিবাদে মানববন্ধন,https://www.jugantor.com/country-news/514583/চলাচলের-রাস্তা-বন্ধের-প্রতিবাদে-মানববন্ধন,"৯ জানুয়ারি, ২০২২"
"মায়ের দুধ খেতে খেতে শিশুর মৃত্যু, শোকে মারা গেলেন মা!",https://www.jugantor.com/country-news/510953/মায়ের-দুধ-খেতে-খেতে-শিশুর-মৃত্যু-শোকে-মারা-গেলেন-মা,"০ জানুয়ারি, ২০২২"
পায়রা সেতুর টোলপ্লাজায় ট্রাকচাপায় প্রাণ গেল পুলিশ সদস্যের,https://www.jugantor.com/country-news/504094/পায়রা-সেতুর-টোলপ্লাজায়-ট্রাকচাপায়-প্রাণ-গেল-পুলিশ-সদস্যের,"১ জানুয়ারি, ২০২২"
"অর্ধকোটি টাকা নিয়ে লাপাত্তা ওষুধ ব্যবসায়ী, ধরিয়ে দিলেই পুরস্কার",https://www.jugantor.com/country-news/503048/অর্ধকোটি-টাকা-নিয়ে-লাপাত্তা-ওষুধ-ব্যবসায়ী-ধরিয়ে-দিলেই-পুরস্কার,"৯ ডিসেম্বর, ২০২১"
দুমকিতে বাসচাপায় হেলপার নিহত,https://www.jugantor.com/country-news/502044/দুমকিতে-বাসচাপায়-হেলপার-নিহত,"৬ ডিসেম্বর, ২০২১"
"জুতা পায়ে শহিদবেদিতে পুষ্পস্তবক অর্পণ, ছবি ভাইরাল",https://www.jugantor.com/country-news/498685/জুতা-পায়ে-শহিদবেদিতে-পুষ্পস্তবক-অর্পণ-ছবি-ভাইরাল,"৬ ডিসেম্বর, ২০২১"
"মাদ্রাসাছাত্রীকে ধর্ষণ করে ছবি ফেসবুকে, চাচা-ভাতিজা আটক",https://www.jugantor.com/country-news/497740/মাদ্রাসাছাত্রীকে-ধর্ষণ-করে-ছবি-ফেসবুকে-চাচাভাতিজা-আটক,"৩ ডিসেম্বর, ২০২১"
আওয়ামী লীগের বিতর্কিত কমিটি বাতিল করে পুনর্গঠনের নির্দেশ,https://www.jugantor.com/country-news/494169/আওয়ামী-লীগের-বিতর্কিত-কমিটি-বাতিল-করে-পুনর্গঠনের-নির্দেশ,"৩ ডিসেম্বর, ২০২১"
আওয়ামী লীগের কমিটিতে বিএনপি জামায়াত ও জাতীয় পার্টি!,https://www.jugantor.com/country-news/493055/আওয়ামী-লীগের-কমিটিতে-বিএনপি-জামায়াত-ও-জাতীয়-পার্টি,"০ নভেম্বর, ২০২১"
পায়রা সেতুতে ২ মোটরসাইকেলের সংঘর্ষে স্কুলছাত্র নিহত,https://www.jugantor.com/country-news/482668/পায়রা-সেতুতে-২-মোটরসাইকেলের-সংঘর্ষে-স্কুলছাত্র-নিহত,"২ নভেম্বর, ২০২১"
পটুয়াখালীতে টমটম-মাহেন্দ্র সংঘর্ষে যুবক নিহত,https://www.jugantor.com/country-news/480118/পটুয়াখালীতে-টমটমমাহেন্দ্র-সংঘর্ষে-যুবক-নিহত,"৬ অক্টোবর, ২০২১"
"দুমকি প্রেস ক্লাবের সভাপতি ফজলুল, সম্পাদক কাজী দুলাল",https://www.jugantor.com/country-news/479791/দুমকি-প্রেস-ক্লাবের-সভাপতি-ফজলুল-সম্পাদক-কাজী-দুলাল,"৫ অক্টোবর, ২০২১"
ফেরিমুক্ত ২৪০ কিমি. পথ,https://www.jugantor.com/todays-paper/first-page/479488/ফেরিমুক্ত-২৪০-কিমি.-পথ,"৫ অক্টোবর, ২০২১"
"ধর্ষণে অন্তঃসত্ত্বা তরুণী, ফুফাতো ভাই গ্রেফতার",https://www.jugantor.com/country-news/474247/ধর্ষণে-অন্তঃসত্ত্বা-তরুণী-ফুফাতো-ভাই-গ্রেফতার,"৯ অক্টোবর, ২০২১"
তুলে নেয়ার ১৬ ঘণ্টা পর হাসপাতালে মিলল স্বেচ্ছাসেবক লীগ নেতা,https://www.jugantor.com/country-news/473947/তুলে-নেয়ার-১৬-ঘণ্টা-পর-হাসপাতালে-মিলল-স্বেচ্ছাসেবক-লীগ-নেতা,"৮ অক্টোবর, ২০২১"
স্বেচ্ছাসেবক লীগ নেতাকে তুলে নেওয়ার অভিযোগ,https://www.jugantor.com/country-news/473885/স্বেচ্ছাসেবক-লীগ-নেতাকে-তুলে-নেওয়ার-অভিযোগ,"৮ অক্টোবর, ২০২১"
"দুমকিতে নির্মাণাধীন সেতুর কাজ ৪ মাস ধরে বন্ধ, দুর্ভোগে দুই ইউনিয়নের মানুষ",https://www.jugantor.com/country-news/472700/দুমকিতে-নির্মাণাধীন-সেতুর-কাজ-৪-মাস-ধরে-বন্ধ-দুর্ভোগে-দুই-ইউনিয়নের-মানুষ,"৫ অক্টোবর, ২০২১"
"দুমকিতে রাস্তা ভেঙে যোগাযোগ বিচ্ছিন্ন, বিপাকে ৫ গ্রামের মানুষ",https://www.jugantor.com/country-news/468660/দুমকিতে-রাস্তা-ভেঙে-যোগাযোগ-বিচ্ছিন্ন-বিপাকে-৫-গ্রামের-মানুষ,"৪ সেপ্টেম্বর, ২০২১"
স্কুল ভবনের পলেস্তারা ধসে শিক্ষক আহত,https://www.jugantor.com/country-news/468050/স্কুল-ভবনের-পলেস্তারা-ধসে-শিক্ষক-আহত,"৩ সেপ্টেম্বর, ২০২১"
"লেবুখালী পায়রা সেতুতে মাত্রাতিরিক্ত টোল, ফেসবুকে তোলপাড়!",https://www.jugantor.com/country-news/467939/লেবুখালী-পায়রা-সেতুতে-মাত্রাতিরিক্ত-টোল-ফেসবুকে-তোলপাড়,"২ সেপ্টেম্বর, ২০২১"
